name,openml_id,link,n_features,n_numerical,n_categorical,n_instances,n_classes,n_missing_values
anneal,2,https://www.openml.org/d/2,39,6,33,898,5,22175
kr-vs-kp,3,https://www.openml.org/d/3,37,0,37,3196,2,0
credit-g,31,https://www.openml.org/d/31,21,7,14,1000,2,0
vehicle,54,https://www.openml.org/d/54,19,18,1,846,4,0
kc1,1067,https://www.openml.org/d/1067,22,21,1,2109,2,0
adult,1590,https://www.openml.org/d/1590,15,6,9,48842,2,6465
walking.,1509,https://www.openml.org/d/1509,5,4,1,149332,22,0
phoneme,1489,https://www.openml.org/d/1489,6,5,1,5404,2,0
skin-seg,1502,https://www.openml.org/d/1502,4,3,1,245057,2,0
ldpa,1483,https://www.openml.org/d/1483,8,5,3,164860,11,0
nomao,1486,https://www.openml.org/d/1486,119,89,30,34465,2,0
blood.,1464,https://www.openml.org/d/1464,5,4,1,748,2,0
bank.,1461,https://www.openml.org/d/1461,17,7,10,45211,2,0
connect.,40668,https://www.openml.org/d/40668,43,0,43,67557,3,0
shuttle,40685,https://www.openml.org/d/40685,10,9,1,58000,7,0
higgs,23512,https://www.openml.org/d/23512,29,28,1,98050,2,9
australian,40981,https://www.openml.org/d/40981,15,6,9,690,2,0
car,40975,https://www.openml.org/d/40975,7,0,7,1728,4,0
segment,40984,https://www.openml.org/d/40984,20,19,1,2310,7,0
jungle.,41027,https://www.openml.org/d/41027,7,6,1,44819,3,0
numerai,23517,https://www.openml.org/d/23517,22,21,1,96320,2,0
helena,41169,https://www.openml.org/d/41169,28,27,1,65196,100,0
jannis,41168,https://www.openml.org/d/41168,55,54,1,83733,4,0
volkert,41166,https://www.openml.org/d/41166,181,180,1,58310,10,0
miniboone,41150,https://www.openml.org/d/41150,51,50,1,130064,2,0
apsfailure,41138,https://www.openml.org/d/41138,171,170,1,76000,2,1078695
jasmine,41143,https://www.openml.org/d/41143,145,8,137,2984,2,0
sylvine,41146,https://www.openml.org/d/41146,21,20,1,5124,2,0
dionis,41167,https://www.openml.org/d/41167,61,60,1,416188,355,0
aloi,42396,https://www.openml.org/d/42396,129,128,1,108000,1000,0
ccfraud,42397,https://www.openml.org/d/42397,31,30,1,284807,2,0
clickpred.,1219,https://www.openml.org/d/1219,12,11,1,399482,2,0
Covertype,293,https://www.openml.org/d/293,55,54,1,581012,7,0
albert,41147,https://www.openml.org/d/41147,79,26,53,425240,2,2734000
blastchar,42178,https://www.openml.org/d/42178,20,3,17,7043,2,0
online-shoopers,42993,https://www.openml.org/d/42993,18,14,4,12330,2,0
qsar,1494,https://www.openml.org/d/1494,42,41,1,1055,2,0
spambase,44,https://www.openml.org/d/44,58,57,1,4601,2,0
