dataset,aggregator,architecture_name,attn_dropout,embed_dim,ff_dropout,n_head,n_layers,numerical_passthrough,optimizer__lr,optimizer__weight_decay,balanced_accuracy_mean,balanced_accuracy_std,accuracy_mean,accuracy_std,log_loss_mean,log_loss_std,roc_auc_mean,roc_auc_std,f1_mean,f1_std,precision_mean,precision_std,recall_mean,recall_std,selection_metric,selection_mode,balanced_accuracy_test_mean,balanced_accuracy_test_std,balanced_accuracy_test_max,balanced_accuracy_test_min,accuracy_test_mean,accuracy_test_std,accuracy_test_max,accuracy_test_min,log_loss_test_mean,log_loss_test_std,log_loss_test_max,log_loss_test_min,roc_auc_test_mean,roc_auc_test_std,roc_auc_test_max,roc_auc_test_min,f1_test_mean,f1_test_std,f1_test_max,f1_test_min,precision_test_mean,precision_test_std,precision_test_max,precision_test_min,recall_test_mean,recall_test_std,recall_test_max,recall_test_min,checkpoint_dir
anneal,concatenate,LA4,0.3,256,0.1,4,30,False,0.0001,0.0001,0.9478030303030304,0.10247883272668942,0.993045843045843,0.008505200446032273,0.021398781860174493,0.02511050301535952,,,,,,,,,log_loss,min,0.99213468013468,0.01012549221650986,1.0,0.9803367003367004,0.9944444444444445,0.006804138174397744,1.0,0.9833333333333333,0.014778773574452198,0.016385273048159624,0.03563902588694513,0.00043140646350139613,,,,,,,,,,,,,,,,,checkpoint/anneal/large/LA4/concatenate/log_loss/T0
anneal,concatenate,LA3,0.3,256,0.1,4,25,False,0.0001,0.0001,0.9125993883792048,0.11859972256069087,0.993026418026418,0.006968818782221725,0.024378498719320078,0.019121813111585048,,,,,,,,,log_loss,min,0.9952188552188552,0.005449555018501003,1.0,0.987946127946128,0.9877777777777779,0.013833221775543046,1.0,0.9666666666666667,0.025537023361899176,0.02554682513813557,0.0630323620423435,0.0007937093370276579,,,,,,,,,,,,,,,,,checkpoint/anneal/large/LA3/concatenate/log_loss/T0
anneal,concatenate,LA0,0.3,256,0.1,4,10,False,0.0001,0.0001,0.9518687795385044,0.08649944788478621,0.9916278166278166,0.011493668844896191,0.029594173643839306,0.03178900140159505,,,,,,,,,log_loss,min,0.9963636363636365,0.00813115628181738,1.0,0.9818181818181818,0.9988888888888889,0.0024845199749997625,1.0,0.9944444444444445,0.005813881477504165,0.007428334537052412,0.01863191540805546,0.00041349042606060994,,,,,,,,,,,,,,,,,checkpoint/anneal/large/LA0/concatenate/log_loss/T2
anneal,concatenate,LA2,0.3,256,0.1,4,20,False,0.0001,0.0001,0.9452121212121213,0.11848570099670055,0.9902777777777778,0.013537214367790222,0.035505032905350384,0.040397943247567604,,,,,,,,,log_loss,min,0.9981818181818183,0.0040655781409087025,1.0,0.990909090909091,0.9988888888888889,0.0024845199749997625,1.0,0.9944444444444445,0.004993087951643983,0.0016279779484663325,0.007248213513237199,0.0033842586708251227,,,,,,,,,,,,,,,,,checkpoint/anneal/large/LA2/concatenate/log_loss/T4
anneal,concatenate,LA1,0.3,256,0.1,4,15,False,0.0001,0.0001,0.8911415068112316,0.12222125314883087,0.9832847707847708,0.017493521530377625,0.043007446973899605,0.039959828812307696,,,,,,,,,log_loss,min,0.99606734006734,0.00879369494181737,1.0,0.9803367003367003,0.9977777777777778,0.004969039949999516,1.0,0.9888888888888889,0.006630753706743435,0.005088282763088028,0.015271664794120636,0.0024603738230109646,,,,,,,,,,,,,,,,,checkpoint/anneal/large/LA1/concatenate/log_loss/T0
australian,sum,LA0,0.3,256,0.1,4,10,False,0.0001,0.0001,0.8594563938743134,0.03406148983075369,0.8604095004095005,0.03464163383325606,0.3108347454027924,0.05647697022743516,0.8594563938743134,0.03406148983075357,0.8445282948845595,0.036721397266860516,0.84254933757611,0.05276388083323278,0.8497959183673469,0.056068619825289684,log_loss,min,0.8566531828826911,0.009904971236919117,0.8677879497551628,0.8431977858207367,0.8594202898550725,0.009722034684781652,0.8695652173913043,0.8478260869565217,0.6359481901530049,0.07082589172616031,0.7422019072530851,0.5447399188230954,0.8566531828826911,0.009904971236919037,0.8677879497551628,0.8431977858207367,0.8396098459759933,0.011482806810969708,0.8524590163934426,0.8235294117647058,0.8474643655119477,0.02204994456673374,0.8771929824561403,0.8153846153846154,0.8327868852459016,0.026937174959270442,0.8688524590163934,0.8032786885245902,checkpoint/australian/large/LA0/sum/log_loss/T4
australian,sum,LA1,0.3,256,0.1,4,15,False,0.0001,0.0001,0.8732854444792195,0.020960379426189647,0.8732186732186733,0.022799208818560446,0.33186835829038175,0.06675176307135772,0.8732854444792195,0.020960379426189654,0.8603841621007604,0.021593905091707024,0.8498915774974888,0.049042650509709906,0.8741224489795918,0.0411269810638779,log_loss,min,0.8699808388332979,0.010196142885180615,0.8855652544177135,0.8578880136257185,0.8739130434782609,0.010989674556596411,0.8913043478260869,0.8623188405797102,0.7321492386770657,0.027187448290605116,0.7648323331362636,0.6941511096436972,0.8699808388332979,0.010196142885180563,0.8855652544177134,0.8578880136257185,0.8543465759569905,0.011521830267879842,0.8717948717948718,0.8403361344537815,0.8737918784227146,0.022772326406092388,0.9107142857142857,0.8524590163934426,0.8360655737704918,0.011591914445681062,0.8524590163934426,0.819672131147541,checkpoint/australian/large/LA1/sum/log_loss/T1
australian,sum,LA2,0.3,256,0.1,4,20,False,0.0001,0.0001,0.8720954035765549,0.022819866179532595,0.8731859131859132,0.023041565906313507,0.33245943601734423,0.06751093904033287,0.8720954035765549,0.02281986617953268,0.8584369375991571,0.024594681462364654,0.8557948610997993,0.03265875406295029,0.8619591836734694,0.032322819824123605,log_loss,min,0.8608899297423888,0.020799840868497486,0.8923781136895891,0.8367042793272301,0.863768115942029,0.01875678131238374,0.8913043478260869,0.8405797101449275,0.6911593906396256,0.08359066037518453,0.7707266543392352,0.5682924306133286,0.8608899297423888,0.020799840868497482,0.892378113689589,0.8367042793272301,0.8440300695709017,0.023781179796026345,0.88,0.8166666666666667,0.8527878754088611,0.013505645236466846,0.864406779661017,0.8305084745762712,0.8360655737704918,0.04015556955382259,0.9016393442622951,0.8032786885245902,checkpoint/australian/large/LA2/sum/log_loss/T3
australian,sum,LA4,0.3,256,0.1,4,30,False,0.0001,0.0001,0.87004757228116,0.02644600769211268,0.8695331695331696,0.024569069050489167,0.33581475313368747,0.07113700632765864,0.87004757228116,0.026446007692112704,0.85620516768658,0.029070548567383142,0.8408184171247963,0.028206122904393026,0.8742040816326531,0.0557201910602888,log_loss,min,0.8478816265701512,0.03523083421412309,0.882797530338514,0.8031722375984671,0.8420289855072465,0.038820565901388056,0.8768115942028986,0.7898550724637681,0.6833516994638731,0.11744421276975711,0.8255276385185043,0.5906917185217837,0.8478816265701512,0.03523083421412306,0.882797530338514,0.8031722375984672,0.8350244219457803,0.03407626860306834,0.8702290076335878,0.7943262411347518,0.78194312729524,0.05638187531805036,0.8307692307692308,0.7,0.898360655737705,0.02693717495927049,0.9344262295081968,0.8688524590163934,checkpoint/australian/large/LA4/sum/log_loss/T3
australian,sum,LA3,0.3,256,0.1,4,25,False,0.0001,0.0001,0.8638936314874972,0.0305382366888529,0.8659459459459459,0.03272000011014279,0.34429847559651156,0.08908452817750831,0.8638936314874972,0.03053823668885292,0.8497454634027524,0.03299569400523675,0.8558189682191438,0.06049517756560739,0.8457142857142858,0.029348045734281673,log_loss,min,0.8505003193527785,0.01888770634376613,0.8708750266127315,0.8240366191185864,0.8521739130434783,0.022684747597823983,0.8768115942028986,0.8188405797101449,0.6676008723770614,0.11068546592327122,0.8367851730889564,0.5643546452086436,0.8505003193527785,0.018887706343766155,0.8708750266127315,0.8240366191185863,0.8338967408830096,0.018787489168601578,0.8547008547008547,0.8091603053435115,0.8339344262295082,0.050220638187217864,0.8928571428571429,0.7571428571428571,0.8360655737704918,0.020077784776911266,0.8688524590163934,0.819672131147541,checkpoint/australian/large/LA3/sum/log_loss/T0
